ORIGINOWNERID,GENERALCAUSE,SPECIFICCAUSE,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,ORIGINTOWNSHIP,ORIGINRANGE,ORIGINSECTION,ORIGINMERIDIAN,PRIMARYFUELTYPE,FALSEALARM,WFUFIRE,FIRECAUSE
PRI,,Children,0-25,Flat,0-500,001S,001W,5,Fairbanks,,N,N,Human
PRI,,Exhaust,0-25,Flat,0-500,003S,007W,10,Fairbanks,,N,N,Human
PRI,,Fireworks,0-25,Flat,1501-2500,018N,013E,19,Copper River,,N,N,Human
BORO,,Recurrent,0-25,Flat,0-500,002S,002E,9,Fairbanks,,N,N,?
STA,,Logging,0-25,Flat,1501-2500,018N,012E,4,Copper River,,N,N,Human
PRI,,Other,0-25,Flat,0-500,005N,011W,4,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,005N,011W,6,Seward,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,002S,002E,12,Fairbanks,,N,N,Human
STA,,Campfire,0-25,Flat,0501-1500,018N,001E,2,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,002S,002E,11,Fairbanks,,N,N,Human
USFS,,Burning Building,0-25,Flat,0501-1500,005N,003W,33,Seward,,N,N,Human
PRI,,Land Clearing,0-25,South,0501-1500,028S,055E,15,Copper River,,N,N,Human
PRI,,Campfire,0-25,Flat,1501-2500,012N,001W,24,Fairbanks,,N,N,Human
PRI,,Children,0-25,Flat,0501-1500,001S,002E,8,Copper River,,N,N,Human
MIL,,Other,0-25,Flat,0-500,001S,001W,1,Fairbanks,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0501-1500,001S,002W,15,Fairbanks,,N,N,Human
PRI,,Other,0-25,Flat,0-500,001S,001W,15,Fairbanks,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,002S,002E,11,Fairbanks,,N,N,Human
BORO,,Children,0-25,Flat,0-500,002S,002E,9,Fairbanks,,N,N,Human
PRI,,Children,0-25,Flat,0-500,018N,002E,33,Seward,,N,N,Human
BORO,,Smoking,0-25,Flat,0-500,002S,002E,4,Fairbanks,,N,N,Human
STA,,Vehicle,0-25,South West,0501-1500,004N,002W,27,Fairbanks,,N,N,Human
USFS,,Campfire,26-40,North East,0501-1500,005N,001E,33,Seward,,N,N,Human
PRI,,Burning Building,0-25,Flat,0501-1500,003N,001W,15,Fairbanks,,N,N,Human
STA,,Campfire,0-25,Flat,0-500,015N,003W,8,Seward,,N,N,Human
STA,,Campfire,0-25,Flat,0-500,017N,003W,28,Seward,,N,N,Human
BORO,,Recurrent,0-25,Flat,0-500,002S,002E,4,Fairbanks,,N,N,?
BORO,,Other,0-25,Flat,0-500,002S,002E,4,Fairbanks,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,001S,002E,29,Fairbanks,,N,N,Human
BORO,,Children,0-25,Flat,0-500,028S,020W,30,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,028S,020W,14,Seward,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,003N,011W,18,Seward,,N,N,Human
STA,,Vehicle,0-25,Flat,0-500,017N,001W,13,Seward,,N,N,Human
STA,,Campfire,0-25,Flat,0-500,001S,002E,5,Fairbanks,,N,N,Human
MIL,,Other,0-25,Flat,0501-1500,001S,004E,31,Fairbanks,,N,N,Human
NCA,,Other,0-25,Flat,0-500,020N,012E,7,Fairbanks,,N,N,Human
STA,,Other,0-25,Flat,0-500,002S,002E,9,Fairbanks,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,003N,011W,30,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0501-1500,005S,012W,23,Seward,,N,N,Human
STA,,Campfire,0-25,Flat,0501-1500,001N,005E,28,Fairbanks,,N,N,Human
NCA,,Campfire,0-25,Flat,1501-2500,017N,014E,8,Copper River,,N,N,Human
STA,,Campfire,0-25,Flat,0-500,001S,002W,26,Fairbanks,,N,N,Human
STA,,Powerline,0-25,Flat,0501-1500,009S,010E,7,Fairbanks,,N,N,Human
PRI,,Other,0-25,North East,0-500,001S,002W,13,Fairbanks,,N,N,Human
PRI,,Children,0-25,Flat,0-500,001S,002W,28,Fairbanks,,N,N,Human
STA,,Powerline,0-25,Flat,1501-2500,018N,012E,25,Copper River,,N,N,Human
BORO,,Recurrent,0-25,Flat,0-500,001S,001W,27,Fairbanks,,N,N,?
PRI,,Smoking,0-25,Flat,0-500,002S,002E,4,Fairbanks,,N,N,Human
PRI,,Trash Burn,0-25,South,0501-1500,030S,020W,3,Seward,,N,N,Human
STA,,Vehicle,0-25,Flat,0501-1500,006S,004E,2,Fairbanks,,N,N,Human
PRI,,Powerline,0-25,Flat,0501-1500,001S,002W,19,Fairbanks,,N,N,Human
PRI,,Powerline,0-25,Flat,0-500,022N,004W,32,Seward,,N,N,Human
STA,,Trash Burn,0-25,Flat,0501-1500,001S,002W,4,Fairbanks,,N,N,Human
PRI,,Burning Building,0-25,Flat,0-500,017N,004W,34,Seward,,N,N,Human
PRI,,Burning Building,0-25,Flat,0-500,018N,002E,33,Seward,,N,N,Human
PRI,,Row Burning,0-25,Flat,0-500,015N,004W,1,Seward,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0501-1500,009S,010E,8,Fairbanks,,N,N,Human
PRI,,Campfire,0-25,North,0501-1500,003N,001E,12,Fairbanks,,N,N,Human
BORO,,Campfire,0-25,Flat,0501-1500,018N,001E,16,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,005N,011W,20,Seward,,N,N,Human
STA,,Lightning,0-25,Flat,0501-1500,008N,015E,14,Fairbanks,,N,N,Natural
PRI,,Burning Building,0-25,Flat,2501-3500,002N,001E,2,Fairbanks,,N,N,Human
STA,,Campfire,0-25,Flat,0501-1500,008S,008E,2,Fairbanks,,N,N,Human
STA,,Lightning,0-25,Flat,0-500,004S,006W,3,Fairbanks,,N,N,Natural
PRI,,Children,0-25,Flat,0-500,005N,009W,2,Seward,,N,N,Human
PRI,,Burning Building,0-25,Flat,0501-1500,009S,010E,16,Fairbanks,,N,N,Human
PRI,,Other (Known),0-25,Flat,0501-1500,008N,015E,33,Fairbanks,,N,N,Human
PRI,,Land Clearing,0-25,North East,0501-1500,001S,002W,29,Fairbanks,,N,N,Human
PRI,,Children,0-25,Flat,0-500,018N,002E,31,Seward,,N,N,Human
PRI,,Trash Burn,0-25,North,0-500,016N,002E,16,Seward,,N,N,Human
PRI,,Burning Building,0-25,Flat,0501-1500,001N,001W,21,Fairbanks,,N,N,Human
NCA,,Burning Dump,0-25,Flat,0501-1500,011N,018E,7,Fairbanks,,N,N,Human
PRI,,Campfire,0-25,Flat,0501-1500,013S,016E,18,Fairbanks,,N,N,Human
PRI,,Field Burn,0-25,Flat,0501-1500,003S,003E,15,Fairbanks,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,001S,001W,15,Fairbanks,,N,N,Human
USFS,,Play w/ Matches,0-25,Flat,0-500,005N,004W,34,Seward,,N,N,Human
PRI,,Burning Building,0-25,Flat,0501-1500,001N,001E,15,Fairbanks,,N,N,Human
NCA,,Other,0-25,Flat,0-500,025N,019W,21,Kateel River,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,001S,001W,16,Fairbanks,,N,N,Human
PRI,,Other,0-25,Flat,0-500,017N,001W,12,Seward,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,007N,012W,26,Seward,,N,N,Human
USFS,,Lightning,0-25,Flat,0-500,016S,001E,19,Copper River,,N,N,Natural
PRI,,Logging,0-25,Flat,0-500,004S,014W,7,Seward,,N,N,Human
NCA,,Other,0-25,Flat,0501-1500,002N,001W,1,Copper River,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,005S,014W,28,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,017N,002W,13,Seward,,N,N,Human
PRI,,Field Burn,0-25,Flat,0501-1500,001N,002E,19,Fairbanks,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,001S,001W,3,Fairbanks,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,017N,003W,22,Seward,,N,N,Human
USFS,,Campfire,0-25,West,0501-1500,008N,001W,33,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,017N,002E,35,Seward,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,017N,003W,32,Seward,,N,N,Human
PRI,,Land Clearing,0-25,North,0-500,018N,002E,11,Seward,,N,N,Human
PRI,,Land Clearing,26-40,South West,0501-1500,016N,001E,35,Seward,,N,N,Human
BORO,,Children, , , ,005N,011W,6,Seward,,N,N,Human
BORO,,Fusees, , , ,006S,013W,30,Seward,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,001S,001W,15,Fairbanks,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,018N,001W,26,Seward,,N,N,Human
PRI,,Trash Burn,0-25,South West,0501-1500,005S,012W,31,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,017N,002W,31,Seward,,N,N,Human
STA,,Other,0-25,Flat,0-500,015N,003W,8,Seward,,N,N,Human
STA,,Other,0-25,Flat,0-500,005N,010W,20,Seward,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,017N,001W,14,Seward,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,018N,001W,32,Seward,,N,N,Human
BORO,,Vehicle,0-25,Flat,0-500,018N,001W,32,Seward,,N,N,Human
PRI,,Burning Building,0-25,Flat,0501-1500,001N,001E,17,Fairbanks,,N,N,Human
PRI,,Burning Building,0-25,Flat,0501-1500,005S,012W,26,Seward,,N,N,Human
PRI,,Recurrent,0-25,South East,0501-1500,001S,002W,14,Fairbanks,,N,N,?
PRI,,Slash Burn,0-25,Flat,0-500,017N,002W,29,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,017N,001W,11,Seward,,N,N,Human
PRI,,Burning Building,0-25,Flat,0-500,014N,005W,11,Seward,,N,N,Human
PRI,,Powerline,0-25,Flat,0-500,001S,002E,20,Fairbanks,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,003N,011W,32,Seward,,N,N,Human
PRI,,Slash Burn,0-25,South West,0501-1500,014N,001E,31,Seward,,N,N,Human
PRI,,Slash Burn,0-25,North West,0-500,027S,019W,20,Seward,,N,N,Human
STA,,Other,0-25,North East,0501-1500,001N,007E,12,Fairbanks,,N,N,Human
PRI,,Other,0-25,Flat,0-500,018N,002E,27,Seward,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0501-1500,001N,002W,28,Fairbanks,,N,N,Human
PRI,,Field Burn,0-25,Flat,0-500,019N,004W,1,Seward,,N,N,Human
BORO,,Recurrent,0-25,Flat,0-500,001S,002W,13,Fairbanks,,N,N,?
PRI,,Land Clearing,0-25,Flat,0501-1500,005N,003W,30,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,005N,001W,36,Seward,,N,N,Human
PRI,,Slash Burn,26-40,North,0-500,018N,002E,12,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,016N,003W,24,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0501-1500,012N,003W,22,Seward,,N,N,Human
BORO,,Children,0-25,Flat,0-500,008S,006W,31,Copper River,,N,N,Human
STA,,Trash Burn, , , ,001S,001W,34,Seward,,N,N,Human
BORO,,Campfire,0-25,Flat,0-500,027S,019W,32,Seward,,N,N,Human
PRI,,Powerline,0-25,Flat,0-500,017N,001E,21,Seward,,N,N,Human
STA,,Other,0-25,South,0501-1500,019N,003E,16,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,006N,012W,25,Seward,,N,N,Human
PRI,,Field Burn,0-25,Flat,0-500,004N,011W,14,Seward,,N,N,Human
MIL,,Other,0-25,Flat,0-500,014N,002W,9,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,018N,001E,27,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,023N,004W,31,Seward,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0501-1500,018N,001E,3,Seward,,N,N,Human
PRI,,Field Burn,0-25,Flat,0-500,016N,004W,14,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,1501-2500,006N,001W,11,Copper River,,N,N,Human
BORO,,Other,0-25,Flat,0-500,033N,033W,20,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,001S,001W,22,Fairbanks,,N,N,Human
PRI,,Field Burn,0-25,Flat,0-500,017N,004W,34,Seward,,N,N,Human
MIL,,Other,0-25,Flat,0-500,001S,001E,6,Fairbanks,,N,N,Human
PRI,,Slash Burn,0-25,Flat,1501-2500,002S,002E,5,Copper River,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,006S,013W,11,Seward,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0501-1500,009S,010E,14,Fairbanks,,N,N,Human
PRI,,Children,0-25,Flat,0501-1500,001N,001W,22,Fairbanks,,N,N,Human
PRI,,Field Burn,0-25,West,1501-2500,003N,001W,1,Fairbanks,,N,N,Human
PRI,,Field Burn,0-25,Flat,0501-1500,006S,014W,9,Seward,,N,N,Human
FWS,,Campfire,0-25,Flat,0-500,008N,013W,8,Fairbanks,,N,N,Human
PRI,,Slash Burn,0-25,South,0501-1500,019N,004E,10,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,001S,001W,22,Fairbanks,,N,N,Human
PRI,,Smoking,0-25,Flat,0-500,001S,001W,16,Fairbanks,,N,N,Human
PRI,,Burning Building,0-25,Flat,0-500,031S,060E,19,Copper River,,N,N,Human
NCA,,Other,0-25,Flat,0-500,025S,021W,31,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,018N,001E,34,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,024N,004W,9,Seward,,N,N,Human
PRI,,Field Burn,0-25,Flat,0-500,017N,001W,30,Seward,,N,N,Human
STA,,Slash Burn,0-25,East,0501-1500,028S,055E,22,Copper River,,N,N,Human
STA,,Campfire, , , ,001S,014W,14,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,018N,002E,30,Seward,,N,N,Human
PRI,,Field Burn,0-25,Flat,0501-1500,006S,014W,9,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,1501-2500,002S,001E,35,Copper River,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,017N,002W,12,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,028S,019W,3,Seward,,N,N,Human
STA,,Other,0-25,Flat,0501-1500,007S,007E,27,Fairbanks,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0501-1500,018N,001E,3,Seward,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0501-1500,001N,002W,35,Fairbanks,,N,N,Human
STA,,Campfire,0-25,Flat,0501-1500,014S,016E,17,Fairbanks,,N,N,Human
STA,,Other,0-25,Flat,0-500,001S,001W,24,Fairbanks,,N,N,Human
PRI,,Other,0-25,Flat,0-500,001S,001W,15,Fairbanks,,N,N,Human
PRI,,Children,0-25,Flat,0-500,001S,002W,1,Fairbanks,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,017N,001E,17,Seward,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,001S,001W,22,Fairbanks,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,018N,001W,25,Seward,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0501-1500,019N,004E,17,Seward,,N,N,Human
MIL,,Other (Known),0-25,Flat,0-500,001S,001E,30,Fairbanks,,N,N,Human
BORO,,Powerline,0-25,Flat,0-500,017N,003W,13,Seward,,N,N,Human
PRI,,Slash Burn,0-25,South East,0-500,004S,011W,36,Seward,,N,N,Human
NCA,,Other,0-25,Flat,0-500,006N,011W,14,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,018N,001W,26,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,001S,001E,15,Fairbanks,,N,N,Human
PRI,,Flue Sparks,0-25,Flat,0-500,016N,004W,36,Seward,,N,N,Human
PRI,,Powerline,0-25,Flat,0-500,017N,003W,28,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,017N,001W,31,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,017N,002E,25,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,017N,004W,24,Seward,,N,N,Human
PRI,,Smoking,0-25,South East,0-500,018N,001W,27,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,018N,001E,26,Seward,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,017N,002W,14,Seward,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,016N,001E,15,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,017N,003W,28,Seward,,N,N,Human
PRI,,Land Clearing,0-25,South East,0501-1500,001S,003W,36,Fairbanks,,N,N,Human
BORO,,Trash Burn,0-25,Flat,0501-1500,001N,003E,36,Fairbanks,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,001S,001W,2,Fairbanks,,N,N,Human
PRI,,Field Burn,0-25,Flat,0501-1500,010S,011E,11,Fairbanks,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,018N,001E,28,Seward,,N,N,Human
BORO,,Children,0-25,Flat,0-500,001S,001W,15,Fairbanks,,N,N,Human
MIL,,Other (Known),0-25,Flat,1501-2500,010S,007E,26,Fairbanks,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,017N,001E,7,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,002S,002E,8,Fairbanks,,N,N,Human
PRI,,Children,0-25,Flat,0-500,001S,001E,22,Fairbanks,,N,N,Human
MIL,,Other,0-25,West,1501-2500,012S,010E,5,Fairbanks,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0501-1500,001S,002W,31,Fairbanks,,N,N,Human
PRI,,BURNING BUILDING,0-25,Flat,0-500,022N,004W,20,Seward,,N,N,Human
PRI,,SMOKING,0-25,Flat,0-500,001N,002E,34,Fairbanks,,N,N,Human
PRI,,LAND CLEAR,0-25,South West,0501-1500,001N,004W,23,Fairbanks,,N,N,Human
NCA,,COOKING FIRE,0-25,Flat,0-500,017N,010E,16,Fairbanks,,N,N,Human
PRI,,CAMPFIRE,0-25,Flat,0501-1500,010S,011E,25,Fairbanks,,N,N,Human
STA,,COOKING FIRE,0-25,South West,0501-1500,036S,063E,33,Copper River,,N,N,Human
BORO,,CAMPFIRE,26-40,South West,0501-1500,017N,003E,16,Seward,,N,N,Human
STA,,CAMPFIRE,0-25,Flat,1501-2500,016N,012E,17,Copper River,,N,N,Human
STA,,CAMPFIRE,0-25,Flat,1501-2500,017N,012E,4,Copper River,,N,N,Human
STA,,CAMPFIRE,0-25,North West,2501-3500,015N,004E,5,Seward,,N,N,Human
STA,,COOKING FIRE,0-25,Flat,0-500,002N,001E,7,Seward,,N,N,Human
PRI,,POWERLINE,0-25,Flat,0-500,005S,012W,26,Seward,,N,N,Human
STA,,CAMPFIRE,0-25,Flat,0501-1500,001S,003W,35,Fairbanks,,N,N,Human
NCA,,CAMPFIRE,0-25,Flat,0501-1500,011S,015E,33,Fairbanks,,N,N,Human
PRI,,CHILDREN,0-25,Flat,0-500,017N,002E,26,Seward,,N,N,Human
PRI,,TRASH BURN,0-25,Flat,0-500,017N,001E,18,Seward,,N,N,Human
STA,,CAMPFIRE,0-25,Flat,1501-2500,015N,011E,29,Copper River,,N,N,Human
PRI,,CAMPFIRE,0-25,Flat,0-500,017N,003W,25,Seward,,N,N,Human
STA,,CAMPFIRE,0-25,Flat,1501-2500,003N,008W,31,Copper River,,N,N,Human
PRI,,SLASH BURN,0-25,Flat,0-500,018N,002W,35,Seward,,N,N,Human
PRI,,SLASH BURN,0-25,Flat,0-500,018N,002W,24,Seward,,N,N,Human
PRI,,POWERLINE,0-25,Flat,0501-1500,010S,011E,14,Fairbanks,,N,N,Human
PRI,,POWERLINE,0-25,Flat,0-500,018N,001W,35,Seward,,N,N,Human
PRI,,TRASH BURN,0-25,Flat,0-500,001S,001W,15,Fairbanks,,N,N,Human
FWS,,CAMPFIRE,0-25,Flat,0-500,004N,007W,22,Seward,,N,N,Human
PRI,,LAND CLEAR,0-25,Flat,0-500,028S,055E,23,Copper River,,N,N,Human
PRI,,BURNING BUILDING,0-25,Flat,0501-1500,020N,005E,26,Seward,,N,N,Human
NCA,,CAMPFIRE,0-25,Flat,1501-2500,018N,010E,3,Copper River,,N,N,Human
PRI,,SLASH BURN,0-25,Flat,0-500,030S,058E,7,Copper River,,N,N,Human
PRI,,CAMPFIRE,0-25,Flat,0-500,031S,059E,3,Copper River,,N,N,Human
PRI,,POWERLINE, , , ,007S,012W,10,Seward,,N,N,Human
NCA,,FIREWORKS,0-25,Flat,1501-2500,018N,013E,9,Copper River,,N,N,Human
USFS,,COOKING FIRE, , , ,040S,065E,28,Copper River,,N,N,Human
NCA,,OTHER,0-25,Flat,1501-2500,013N,011E,5,Copper River,,N,N,Human
NCA,,SLASH BURN,0-25,Flat,0-500,003S,010E,28,Seward,,N,N,Human
PRI,,POWERLINE,0-25,Flat,0-500,003N,011W,17,Seward,,N,N,Human
PRI,,SLASH BURN,0-25,Flat,0-500,005N,011W,23,Seward,,N,N,Human
STA,,WARMING FIRE,0-25,Flat,0-500,044S,061E,8,Copper River,,N,N,Human
STA,,OTHER,0-25,Flat,0-500,005N,010W,33,Seward,,N,N,Human
PRI,,LAND CLEAR,0-25,Flat,0-500,017N,003W,20,Seward,,N,N,Human
PRI,,SMOKING, , , ,005N,011W,6,Seward,,N,N,Human
USFS,,WARMING FIRE,0-25,Flat,0-500,062S,084E,19,Copper River,,N,N,Human
BORO,,POWERLINE,0-25,Flat,0-500,021N,004W,18,Seward,,N,N,Human
STA,,WARMING FIRE,0-25,Flat,0-500,051S,061E,24,Copper River,,N,N,Human
BLM,,OTHER,0-25,Flat,0501-1500,002S,002E,4,Copper River,,N,N,Human
NCA,,LIGHTNING,0-25,West,2501-3500,016N,015E,9,Copper River,,N,N,Natural
PRI,,CHILDREN,0-25,Flat,0-500,017N,001W,10,Seward,,N,N,Human
STA,,OTHER,0-25,Flat,0501-1500,001S,002E,26,Copper River,,N,N,Human
USFS,,OTHER,0-25,South West,0-500,074S,090E,35,Copper River,,N,N,Human
USFS,,OTHER,0-25,Flat,0-500,068S,078E,9,Copper River,,N,N,Human
STA,,WARMING FIRE,0-25,Flat,0-500,005N,003W,35,Seward,,N,N,Human
PRI,,SLASH BURN,0-25,Flat,0-500,023N,004W,34,Seward,,N,N,Human
PRI,,OTHER,0-25,Flat,0-500,020N,005W,25,Seward,,N,N,Human
FWS,,CAMPFIRE,0-25,Flat,0-500,005N,006W,35,Seward,,N,N,Human
PRI,,SMOKING,0-25,Flat,0-500,005N,010W,22,Seward,,N,N,Human
FWS,,CAMPFIRE,0-25,Flat,0-500,005N,004W,33,Seward,,N,N,Human
PRI,,CHILDREN,0-25,Flat,0-500,017N,002W,19,Seward,,N,N,Human
PRI,,SLASH BURN, , , ,007S,012W,1,Seward,,N,N,Human
USFS,,WARMING FIRE,0-25,Flat,0501-1500,008N,001E,31,Seward,,N,N,Human
USFS,,WARMING FIRE, , , ,050S,061E,25,Copper River,,N,N,Human
PRI,,POWERLINE,0-25,Flat,0-500,017N,002E,22,Seward,,N,N,Human
PRI,,OTHER,0-25,Flat,0-500,018N,001E,32,Seward,,N,N,Human
FWS,,CAMPFIRE,0-25,Flat,0-500,005N,005W,36,Seward,,N,N,Human
BLM,,LIGHTNING,0-25,Flat,0501-1500,006S,027W,17,Kateel River,,N,N,Natural
BLM,,LIGHTNING, , , ,020N,017W,33,Kateel River,,N,N,Natural
PRI,,CAMPFIRE,0-25,Flat,0501-1500,001S,002W,3,Fairbanks,,N,N,Human
BORO,,CAMPFIRE,0-25,Flat,0-500,019N,004W,18,Seward,,N,N,Human
NCA,,CAMPFIRE,0-25,Flat,0-500,033N,032W,33,Seward,,N,N,Human
FWS,,LIGHTNING,0-25,East,1501-2500,024N,029E,11,Fairbanks,,N,N,Natural
USFS,,PYROMANIA,0-25,Flat,0-500,005N,004W,35,Seward,,N,N,Human
USFS,,COOKING FIRE,0-25,Flat,0-500,042S,065E,24,Copper River,,N,N,Human
BLM,,LIGHTNING,0-25,South West,1501-2500,014N,025E,30,Fairbanks,,N,N,Natural
PRI,,OTHER,0-25,Flat,0-500,017N,003W,9,Seward,,N,N,Human
NCA,,CAMPFIRE,0-25,Flat,0501-1500,002N,001W,13,Copper River,,N,N,Human
NCA,,CAMPFIRE,0-25,Flat,1501-2500,006N,001W,14,Copper River,,N,N,Human
PRI,,POWERLINE,0-25,Flat,0501-1500,005S,012W,22,Seward,,N,N,Human
NPS,,LIGHTNING,0-25,Flat,0501-1500,011S,019W,36,Fairbanks,,N,N,Natural
STA,,COOKING FIRE,0-25,South West,0-500,044S,060E,13,Copper River,,N,N,Human
PRI,,BURNING BUILDING,0-25,Flat,0501-1500,003S,004E,32,Fairbanks,,N,N,Human
BLM,,LIGHTNING,0-25,South West,2501-3500,007N,020W,14,Fairbanks,,N,N,Natural
PRI,,COOKING FIRE,0-25,South East,0-500,042S,067E,15,Copper River,,N,N,Human
STA,,LIGHTNING,0-25,South West,1501-2500,004N,005E,15,Fairbanks,,N,N,Natural
PRI,,POWERLINE,0-25,Flat,0501-1500,001S,003W,25,Fairbanks,,N,N,Human
PRI,,RECURRENT,0-25,South,0501-1500,001S,003W,4,Fairbanks,,N,N,?
STA,,VEHICLE,0-25,Flat,0501-1500,009S,010E,6,Fairbanks,,N,N,Human
STA,,OTHER,0-25,Flat,0-500,001S,002E,36,Fairbanks,,N,N,Human
STA,,LIGHTNING,0-25,South East,0501-1500,007N,014W,23,Fairbanks,,N,N,Natural
STA,,LIGHTNING,0-25,Flat,0501-1500,004N,003E,17,Fairbanks,,N,N,Natural
BLM,,LIGHTNING,0-25,Flat,0501-1500,009N,010W,5,Fairbanks,,N,N,Natural
BORO,,FIREWORKS,0-25,Flat,0-500,031S,059E,2,Copper River,,N,N,Human
STA,,FIREWORKS,0-25,Flat,1501-2500,018N,013E,19,Copper River,,N,N,Human
STA,,OTHER,0-25,Flat,0501-1500,001N,001E,8,Copper River,,N,N,Human
NCA,,OTHER,0-25,Flat,1501-2500,017N,016E,20,Copper River,,N,N,Human
MIL,,LIGHTNING,0-25,Flat,0-500,004S,002W,18,Fairbanks,,N,N,Natural
USFS,,FIREWORKS,0-25,South East,0501-1500,061S,080E,15,Copper River,,N,N,Human
PRI,,FIREWORKS,0-25,Flat,0-500,001S,002E,32,Fairbanks,,N,N,Human
BIA,,OTHER,0-25,Flat,0501-1500,001S,002E,26,Copper River,,N,N,Human
PRI,,BURNING BUILDING,0-25,Flat,0501-1500,019N,004E,11,Seward,,N,N,Human
USFS,,WARMING FIRE,0-25,Flat,0-500,070S,084E,35,Copper River,,N,N,Human
STA,,OTHER,0-25,Flat,0-500,071S,084E,31,Copper River,,N,N,Human
STA,,LIGHTNING,0-25,Flat,2501-3500,016N,021E,15,Copper River,,N,N,Natural
PRI,,CHILDREN,0-25,Flat,0-500,001S,001E,15,Fairbanks,,N,N,Human
STA,,LIGHTNING,0-25,Flat,0501-1500,004S,016W,27,Fairbanks,,N,N,Natural
BLM,,LIGHTNING,0-25,Flat,1501-2500,006N,001E,29,Fairbanks,,N,N,Natural
BLM,,LIGHTNING,0-25,Flat,0501-1500,004S,019E,10,Kateel River,,N,N,Natural
BLM,,LIGHTNING,0-25,Flat,0501-1500,008N,020W,23,Fairbanks,,N,N,Natural
BLM,,LIGHTNING,0-25,Flat,0501-1500,011N,025W,7,Fairbanks,,N,N,Natural
